Origin,Sex,Value,Date
Afghanistan,Maschio,7,01-01-1987
Afghanistan,Maschio,7,01-01-1988
Afghanistan,Maschio,6,01-01-1989
Afghanistan,Maschio,6,01-01-1990
Afghanistan,Maschio,6,01-01-1991
Afghanistan,Maschio,0,01-01-1992
Afghanistan,Maschio,6,01-01-1993
Afghanistan,Maschio,7,01-01-1994
Afghanistan,Maschio,5,01-01-1995
Afghanistan,Maschio,5,01-01-1996
Afghanistan,Maschio,5,01-01-1997
Afghanistan,Maschio,5,01-01-1998
Afghanistan,Maschio,5,01-01-1999
Afghanistan,Maschio,6,01-01-2000
Afghanistan,Maschio,5,01-01-2001
Afghanistan,Maschio,6,01-01-2002
Afghanistan,Maschio,3,01-01-2003
Afghanistan,Maschio,3,01-01-2004
Afghanistan,Maschio,10,01-01-2005
Afghanistan,Maschio,14,01-01-2006
Afghanistan,Maschio,22,01-01-2007
Afghanistan,Maschio,30,01-01-2008
Afghanistan,Maschio,59,01-01-2009
Afghanistan,Maschio,102,01-01-2010
Afghanistan,Maschio,99,01-01-2011
Afghanistan,Maschio,159,01-01-2012
Afghanistan,Maschio,146,01-01-2013
Albania,Maschio,15,01-01-1987
Albania,Maschio,13,01-01-1988
Albania,Maschio,12,01-01-1989
Albania,Maschio,12,01-01-1990
Albania,Maschio,43,01-01-1991
Albania,Maschio,0,01-01-1992
Albania,Maschio,180,01-01-1993
Albania,Maschio,243,01-01-1994
Albania,Maschio,310,01-01-1995
Albania,Maschio,369,01-01-1996
Albania,Maschio,582,01-01-1997
Albania,Maschio,916,01-01-1998
Albania,Maschio,1012,01-01-1999
Albania,Maschio,1365,01-01-2000
Albania,Maschio,1831,01-01-2001
Albania,Maschio,1901,01-01-2002
Albania,Maschio,1575,01-01-2003
Albania,Maschio,2102,01-01-2004
Albania,Maschio,2428,01-01-2005
Albania,Maschio,2476,01-01-2006
Albania,Maschio,2484,01-01-2007
Albania,Maschio,2538,01-01-2008
Albania,Maschio,2746,01-01-2009
Albania,Maschio,2854,01-01-2010
Albania,Maschio,2910,01-01-2011
Albania,Maschio,3100,01-01-2012
Albania,Maschio,3046,01-01-2013
Algeria,Maschio,54,01-01-1987
Algeria,Maschio,62,01-01-1988
Algeria,Maschio,68,01-01-1989
Algeria,Maschio,80,01-01-1990
Algeria,Maschio,38,01-01-1991
Algeria,Maschio,0,01-01-1992
Algeria,Maschio,184,01-01-1993
Algeria,Maschio,198,01-01-1994
Algeria,Maschio,195,01-01-1995
Algeria,Maschio,207,01-01-1996
Algeria,Maschio,271,01-01-1997
Algeria,Maschio,395,01-01-1998
Algeria,Maschio,410,01-01-1999
Algeria,Maschio,449,01-01-2000
Algeria,Maschio,512,01-01-2001
Algeria,Maschio,457,01-01-2002
Algeria,Maschio,286,01-01-2003
Algeria,Maschio,345,01-01-2004
Algeria,Maschio,396,01-01-2005
Algeria,Maschio,406,01-01-2006
Algeria,Maschio,420,01-01-2007
Algeria,Maschio,435,01-01-2008
Algeria,Maschio,441,01-01-2009
Algeria,Maschio,454,01-01-2010
Algeria,Maschio,457,01-01-2011
Algeria,Maschio,462,01-01-2012
Algeria,Maschio,426,01-01-2013
Altre nazioni o n.d.,Maschio,96,01-01-1987
