(UTC),Latitudine,Longitudine,Profonditą,Magnitudo_orig,Magnitude,Scala,Fonte
2015-12-29,42.674,15.209,10,2.5--ML,2.5,ML,SURVEY
2015-12-28,42.297,12.794,9.2,3.1--ML,3.1,ML,SURVEY
2015-12-28,39.004,15.743,174.6,2.7--ML,2.7,ML,SURVEY
2015-12-27,39.155,15.405,265.2,2.6--ML,2.6,ML,SURVEY
2015-12-26,41.57,13.797,8.4,2.6--ML,2.6,ML,SURVEY
2015-12-26,38.487,13.662,31.3,3.5--ML,3.5,ML,SURVEY
2015-12-23,39.159,15.63,244.4,2.6--ML,2.6,ML,SURVEY
2015-12-22,36.074,14.316,7.8,2.9--ML,2.9,ML,SURVEY
2015-12-22,37.771,15.426,9,3.4--Mw,3.4,Mw,SURVEY
2015-12-22,37.764,15.448,8.1,2.5--ML,2.5,ML,SURVEY
2015-12-22,37.763,15.442,8,3.4--Mw,3.4,Mw,SURVEY
2015-12-22,37.77,15.441,8.4,3.0--ML,3,ML,SURVEY
2015-12-20,41.602,13.676,10.9,2.9--ML,2.9,ML,SURVEY
2015-12-20,38.316,13.563,5,3.1--ML,3.1,ML,SURVEY
2015-12-20,38.354,13.582,5,4.0--ML,4,ML,SURVEY
2015-12-18,45.836,14.422,5,2.8--ML,2.8,ML,SURVEY
2015-12-17,38.311,14.566,224.4,2.7--ML,2.7,ML,SURVEY
2015-12-17,42.365,15.141,10,2.7--ML,2.7,ML,SURVEY
2015-12-16,44.17,10.881,8.5,2.5--ML,2.5,ML,SURVEY
2015-12-15,43.797,12.272,52.3,2.9--ML,2.9,ML,SURVEY
2015-12-15,40.659,15.481,18.1,3.0--ML,3,ML,SURVEY
2015-12-15,35.025,15.759,41.6,3.1--ML,3.1,ML,SURVEY
2015-12-15,45.663,10.207,3,2.9--ML,2.9,ML,SURVEY
2015-12-14,45.298,9.56,37.4,2.5--ML,2.5,ML,SURVEY
2015-12-13,35.071,15.886,9.9,2.7--ML,2.7,ML,SURVEY
2015-12-12,37.424,16.273,23.8,3.4--ML,3.4,ML,SURVEY
2015-12-12,42.499,15.492,11.1,2.9--ML,2.9,ML,SURVEY
2015-12-12,42.538,15.318,11.7,2.9--ML,2.9,ML,SURVEY
2015-12-12,39.255,16.285,12.6,2.5--ML,2.5,ML,SURVEY
2015-12-11,45.8,15.033,7.1,2.8--ML,2.8,ML,SURVEY
2015-12-11,44.489,9.624,10.7,3.0--ML,3,ML,SURVEY
2015-12-10,42.558,15.303,5.9,2.7--ML,2.7,ML,SURVEY
2015-12-10,43.428,11.843,9.2,2.5--ML,2.5,ML,SURVEY
2015-12-10,38.559,16.07,27.8,2.8--ML,2.8,ML,SURVEY
2015-12-10,38.405,15.475,140.1,2.5--ML,2.5,ML,SURVEY
2015-12-08,46.338,12.596,7.4,3.4--ML,3.4,ML,SURVEY
2015-12-08,37.81,15.05,2.1,3.2--ML,3.2,ML,SURVEY
2015-12-08,37.82,15.07,0,2.9--ML,2.9,ML,SURVEY
2015-12-08,37.789,15.09,2.5,3.4--ML,3.4,ML,BULLETIN
2015-12-08,42.388,15.143,10,2.8--ML,2.8,ML,SURVEY
2015-12-07,37.866,15.071,10.3,2.6--M,2.6,M,SURVEY
2015-12-07,37.806,15.049,0,2.7--ML,2.7,ML,SURVEY
2015-12-07,42.047,16.726,10,2.8--ML,2.8,ML,SURVEY
2015-12-06,44.382,10.816,27.4,2.5--ML,2.5,ML,SURVEY
2015-12-06,42.653,15.262,25.1,2.5--ML,2.5,ML,SURVEY
2015-12-06,39.149,16.481,8.1,2.6--ML,2.6,ML,SURVEY
2015-12-06,42.736,15.322,27.5,3.7--ML,3.7,ML,SURVEY
2015-12-06,42.774,15.327,10,3.1--ML,3.1,ML,SURVEY
2015-12-06,42.447,15.301,5.2,4.4--Mw,4.4,Mw,SURVEY
2015-12-06,42.437,15.286,20,3.0--ML,3,ML,SURVEY
2015-12-06,38.523,14.795,14.3,2.6--ML,2.6,ML,SURVEY
2015-12-06,42.459,15.379,17,2.7--ML,2.7,ML,SURVEY
2015-12-06,42.55,15.304,33.8,2.7--ML,2.7,ML,SURVEY
2015-12-06,42.491,15.298,28.6,2.8--ML,2.8,ML,SURVEY
2015-12-06,42.647,15.405,25.1,2.8--ML,2.8,ML,SURVEY
2015-12-06,42.458,15.246,21.6,3.4--ML,3.4,ML,SURVEY
2015-12-06,42.65,15.187,26.4,3.9--ML,3.9,ML,SURVEY
2015-12-06,42.801,15.485,32.3,2.7--ML,2.7,ML,SURVEY
